trader_id,ticker,direction,timestamp,horizon,entry_price,notes,source
stock_guru_123,AAPL,LONG,2024-11-15T10:30:00+00:00,SWING,175.0,Breakout above resistance,manual
stock_guru_123,NVDA,LONG,2024-11-20T14:15:00+00:00,SWING,140.0,AI momentum continues,manual
stock_guru_123,GOOGL,SHORT,2024-11-25T11:45:00+00:00,SWING,165.0,Overbought conditions,manual
penny_king,TSLA,BULLISH,2024-11-18T09:30:00+00:00,DAY_TRADE,320.5,Momentum play,manual
penny_king,AMC,BULLISH,2024-11-22T10:15:00+00:00,DAY_TRADE,4.25,Squeeze potential,manual
penny_king,GME,SHORT,2024-11-27T13:30:00+00:00,DAY_TRADE,25.5,Overextended,manual
value_investor,MSFT,LONG,2024-11-10T12:00:00+00:00,LONG_TERM,410.0,"Strong fundamentals, good entry point",manual
value_investor,JPM,LONG,2024-11-14T15:30:00+00:00,LONG_TERM,198.0,Banking sector recovery,manual
value_investor,KO,LONG,2024-11-21T11:00:00+00:00,LONG_TERM,63.5,Consumer staples safety,manual
tech_trader,META,LONG,2024-11-12T09:45:00+00:00,SWING,515.0,Metaverse momentum,manual
tech_trader,AMD,LONG,2024-11-19T14:20:00+00:00,SWING,125.0,Chip sector rally,manual
tech_trader,NFLX,SHORT,2024-11-26T10:30:00+00:00,SWING,420.0,Streaming competition concerns,manual
